# OPA859 voltage noise
# X Hz
# Y nV/sqrt(Hz)
0.0109466, 141.7599
0.0228802, 140.6491
0.0632768, 141.0184
0.1470965, 141.3887
0.2793951, 141.0184
0.5737204, 139.9134
0.9423338, 134.5169
1.3242784, 130.3499
1.9077831, 122.0787
2.5422235, 112.843
3.7543839, 98.9767
5.7854271, 85.012
7.156398, 77.557
10.2368318, 66.266
13.6411283, 57.6677
20.6514455, 45.5446
30.282851, 36.1593
43.6261084, 27.8186
52.0849625, 24.5929
68.6719106, 20.4688
91.5090101, 17.0362
123.2442135, 14.4041
151.9099698, 12.9358
209.7317502, 11.5262
295.786256, 10.966
406.9270651, 10.4057
647.3917854, 10.0569
962.8768781, 9.8224
1377.342148, 9.6944
1956.294717, 9.6437
